timestamp,filename,sample_rate,num_samples
2025-05-12_20-19-14,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-14_silence.bin,16000,32000
2025-05-12_20-19-18,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-18_silence.bin,16000,32000
2025-05-12_20-19-22,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-22_silence.bin,16000,32000
2025-05-12_20-19-25,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-25_silence.bin,16000,32000
2025-05-12_20-19-29,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-29_silence.bin,16000,32000
2025-05-12_20-19-33,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-33_silence.bin,16000,32000
2025-05-12_20-19-36,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-36_silence.bin,16000,32000
2025-05-12_20-19-40,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-40_silence.bin,16000,32000
2025-05-12_20-19-44,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-44_silence.bin,16000,32000
2025-05-12_20-19-47,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-47_silence.bin,16000,32000
2025-05-12_20-19-51,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-51_silence.bin,16000,32000
2025-05-12_20-19-55,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-55_silence.bin,16000,32000
2025-05-12_20-19-58,mic_data/16000Hz_2s_each_1s-2025-05-12_20-19-58_silence.bin,16000,32000
2025-05-12_20-20-02,mic_data/16000Hz_2s_each_1s-2025-05-12_20-20-02_silence.bin,16000,32000
2025-05-12_20-20-06,mic_data/16000Hz_2s_each_1s-2025-05-12_20-20-06_silence.bin,16000,32000
2025-05-12_20-23-15,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-15_baby.bin,16000,32000
2025-05-12_20-23-19,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-19_baby.bin,16000,32000
2025-05-12_20-23-22,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-22_baby.bin,16000,32000
2025-05-12_20-23-26,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-26_baby.bin,16000,32000
2025-05-12_20-23-30,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-30_baby.bin,16000,32000
2025-05-12_20-23-34,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-34_baby.bin,16000,32000
2025-05-12_20-23-37,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-37_baby.bin,16000,32000
2025-05-12_20-23-41,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-41_baby.bin,16000,32000
2025-05-12_20-23-45,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-45_baby.bin,16000,32000
2025-05-12_20-23-48,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-48_baby.bin,16000,32000
2025-05-12_20-23-52,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-52_baby.bin,16000,32000
2025-05-12_20-23-56,mic_data/16000Hz_2s_each_1s-2025-05-12_20-23-56_baby.bin,16000,32000
2025-05-12_20-24-00,mic_data/16000Hz_2s_each_1s-2025-05-12_20-24-00_baby.bin,16000,32000
2025-05-12_20-24-03,mic_data/16000Hz_2s_each_1s-2025-05-12_20-24-03_baby.bin,16000,32000
2025-05-12_20-24-07,mic_data/16000Hz_2s_each_1s-2025-05-12_20-24-07_baby.bin,16000,32000
2025-05-12_20-24-11,mic_data/16000Hz_2s_each_1s-2025-05-12_20-24-11_baby.bin,16000,32000
2025-05-12_20-24-14,mic_data/16000Hz_2s_each_1s-2025-05-12_20-24-14_baby.bin,16000,32000
2025-05-12_20-24-18,mic_data/16000Hz_2s_each_1s-2025-05-12_20-24-18_baby.bin,16000,32000
