timestamp,filename,sample_rate,num_samples
2025-04-22_16-43-38,mic_data/16000Hz_2s_each_10s-2025-04-22_16-43-38_silence.bin,16000,32000
2025-04-22_16-43-50,mic_data/16000Hz_2s_each_10s-2025-04-22_16-43-50_silence.bin,16000,32000
2025-04-22_16-44-03,mic_data/16000Hz_2s_each_10s-2025-04-22_16-44-03_silence.bin,16000,32000
2025-04-22_16-44-16,mic_data/16000Hz_2s_each_10s-2025-04-22_16-44-16_silence.bin,16000,32000
2025-04-22_16-44-28,mic_data/16000Hz_2s_each_10s-2025-04-22_16-44-28_silence.bin,16000,32000
2025-04-22_16-44-41,mic_data/16000Hz_2s_each_10s-2025-04-22_16-44-41_silence.bin,16000,32000
2025-04-22_16-44-54,mic_data/16000Hz_2s_each_10s-2025-04-22_16-44-54_silence.bin,16000,32000
2025-04-22_16-45-06,mic_data/16000Hz_2s_each_10s-2025-04-22_16-45-06_silence.bin,16000,32000
2025-04-22_17-10-15,mic_data/16000Hz_2s_each_10s-2025-04-22_17-10-15_crying.bin,16000,32000
2025-04-22_17-10-27,mic_data/16000Hz_2s_each_10s-2025-04-22_17-10-27_crying.bin,16000,32000
2025-04-22_17-10-40,mic_data/16000Hz_2s_each_10s-2025-04-22_17-10-40_crying.bin,16000,32000
2025-04-22_17-10-53,mic_data/16000Hz_2s_each_10s-2025-04-22_17-10-53_crying.bin,16000,32000
2025-04-22_17-41-21,mic_data/16000Hz_2s_each_10s-2025-04-22_17-41-21_crying.bin,16000,32000
2025-04-22_17-41-33,mic_data/16000Hz_2s_each_10s-2025-04-22_17-41-33_crying.bin,16000,32000
2025-04-22_17-44-52,mic_data/16000Hz_2s_each_10s-2025-04-22_17-44-52_dog.bin,16000,32000
2025-04-22_17-45-05,mic_data/16000Hz_2s_each_10s-2025-04-22_17-45-05_dog.bin,16000,32000
2025-04-22_17-45-17,mic_data/16000Hz_2s_each_10s-2025-04-22_17-45-17_dog.bin,16000,32000
2025-04-22_17-45-30,mic_data/16000Hz_2s_each_10s-2025-04-22_17-45-30_dog.bin,16000,32000
2025-04-22_17-45-43,mic_data/16000Hz_2s_each_10s-2025-04-22_17-45-43_dog.bin,16000,32000
